臺灣省議會史料總庫-資料目錄
輸出數量：,2

"no",="資料集",="典藏號",="瀏覽階層",="日期描述",="內容摘要"
"1",="議事錄",="001-01-01OA-00-4-3-0-00013",="會議/臺灣省參議會/第一屆/第一次定期大會/-",="1946-04-30 ~ 1946-05-15",="國府主席賀電"
"2",="議事錄",="001-01-01OA-00-4-3-0-00021",="會議/臺灣省參議會/第一屆/第一次定期大會/-",="1946-04-30 ~ 1946-05-15",="福建省參議會賀電"
