地方議會議事錄-資料目錄,,,,,,,,,,,,,,,,,,,,,,,,,,
輸出條件：,tags:My\ Folder:+,,,,,,,,,,,,,,,,,,,,,,,,,
輸出數量：,2,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,書目序號,議會名稱,資料類型,書目名稱,典藏序號,類別階層,會議階層,內容類別,頁次起,頁次迄,影像序起,影像序迄,日期起,日期迄,內容摘要,會議主席,提案議員,相關議員,請願人,機關,相關機關,請願機關,文號,參照,,資料連結
1,001-01-02OA-00,臺灣省參議會,議事錄,臺灣省參議會第一屆第二次定期大會,001-01-02OA-00-6-5-0-00240,議事錄/質詢/農林/總目,臺灣省參議會/第一屆/第二次定期大會/第六次會議,內容,108,109,0108.jpg,0109.jpg,1946/12/17,1946/12/17,一 、豬雞霍亂預防注射藥發明研究；二、捕鯨業開始促進案；三、櫻花能開的高山地帶開設一大果樹園產生寒帶果實如琵琶林檎水蜜桃等；四、獎勵高山人放牧牛羊充為食料,黃朝琴,郭國基,,,農林處：處長：趙連芳,,,,,,http://journal.tpa.gov.tw/query.php?act=reference&view=001-01-02OA-00-6-5-0-00240
2,001-01-02OA-00,臺灣省參議會,議事錄,臺灣省參議會第一屆第二次定期大會,001-01-02OA-00-6-5-0-00254,議事錄/質詢/農林/農林業,臺灣省參議會/第一屆/第二次定期大會/第六次會議,內容,115,116,0115.jpg,0116.jpg,1946/12/17,1946/12/17,一、豬雞霍亂予防注射藥研究否？；二、臺灣菲律賓間有鯨魚魚場日人時代在恒春有捕鯨會社會政府這計劃沒有；三、利用高山寒帶種植寒帶果樹如琵琶林檎桃葡萄等供給食用,黃朝琴,郭國基,,,農林處：處長：趙連芳,,,,,,http://journal.tpa.gov.tw/query.php?act=reference&view=001-01-02OA-00-6-5-0-00254
